                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.977,                 1.4651,                 1.0348,                0.65197,                0.41538,                0.48034,                0.23115,                  1.939,                 1.3075,                 1.0335,             0.00033141,             0.00033141,             0.00033141
                      2,                 1.9583,                 1.1067,                 1.0315,                0.75498,                 0.6068,                 0.6523,                0.33615,                 1.8999,                 1.2639,                 1.0305,             0.00065158,             0.00065158,             0.00065158
                      3,                  1.969,                 1.0545,                 1.0316,                0.64863,                0.63961,                0.64719,                0.35113,                 1.9369,                 1.2726,                 1.0354,             0.00095855,             0.00095855,             0.00095855
                      4,                 1.9535,                 1.0574,                 1.0311,                0.64161,                0.69997,                0.68852,                0.36847,                 1.8339,                 1.2076,                 1.0113,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.8897,                0.97971,                 1.0109,                0.74858,                0.56638,                 0.6639,                0.35914,                 1.9588,                 1.2142,                 1.0284,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.8777,                0.96422,                 1.0094,                0.84713,                0.51166,                0.68569,                0.36728,                 1.9243,                 1.1461,                 1.0235,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.8531,                0.93529,                  1.003,                0.84001,                0.72446,                 0.8156,                0.45394,                 1.7216,                0.94298,                0.98065,               0.000901,               0.000901,               0.000901
                      8,                 1.8255,                 0.9074,                 1.0007,                0.87033,                0.71638,                0.81253,                0.47689,                 1.7487,                0.93999,                0.97805,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.7845,                0.86895,                 0.9877,                0.82199,                0.80439,                0.83439,                0.48965,                 1.6823,                0.86316,                0.96841,              0.0008614,              0.0008614,              0.0008614
                     10,                  1.761,                0.85543,                0.98234,                0.72373,                0.78666,                0.79859,                0.45577,                 1.7704,                 0.8927,                0.98249,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.7351,                0.83022,                0.96997,                 0.8503,                0.73517,                0.82828,                0.48627,                  1.794,                0.94494,                0.98355,              0.0008218,              0.0008218,              0.0008218
                     12,                  1.729,                0.82522,                 0.9709,                0.75624,                0.80485,                0.84746,                0.49222,                 1.6903,                0.83994,                0.96242,               0.000802,               0.000802,               0.000802
                     13,                 1.6892,                0.80105,                0.96551,                0.78032,                0.79742,                0.85196,                0.51045,                 1.6515,                0.84486,                0.95517,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.6889,                0.79013,                0.95942,                0.84681,                0.79027,                0.86576,                0.50911,                  1.712,                0.82269,                0.96541,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.6488,                0.76781,                0.95965,                0.85686,                0.78181,                0.87124,                0.51217,                 1.7014,                0.79844,                0.96368,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.6313,                0.75507,                0.94926,                0.83248,                0.85923,                0.88221,                0.53399,                 1.6275,                0.74837,                0.95263,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.6427,                0.75565,                0.95052,                0.81449,                0.77637,                0.85933,                0.50204,                 1.7784,                0.82598,                0.97671,               0.000703,               0.000703,               0.000703
                     18,                 1.5958,                0.74029,                 0.9416,                0.91496,                0.82404,                0.89012,                0.54276,                 1.6067,                0.72873,                0.94456,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.5771,                0.72643,                0.93752,                0.83796,                0.83683,                0.85651,                0.52434,                 1.6645,                0.74275,                  0.948,              0.0006634,              0.0006634,              0.0006634
